id,title,genres,popularity,release_date,budget,revenue,vote_average
530385,Midsommar,Horror-Drama-Mystery,42.188,2019/7/3,9000000,47980982,7.1
522162,Midway,War-History-Action-Drama,35.035,2019/11/6,100000000,127420861,7.1
11448,Mighty Aphrodite,Comedy-Romance,7.693,1995/9/13,15000000,6700000,6.8
9070,Mighty Morphin Power Rangers: The Movie,Family-Action-Adventure-Science Fiction-Fantasy,22.997,1995/6/30,15000000,66000000,5.8
316023,Mike and Dave Need Wedding Dates,Comedy,28.503,2016/7/7,33000000,77068246,6.1
347375,Mile 22,Action-Thriller,25.486,2018/8/16,35000000,66308758,6.2
10139,Milk,History-Drama,13.236,2008/11/5,20000000,54589558,7.3
379,Miller's Crossing,Drama-Thriller-Crime,13.782,1990/9/21,14000000,5080409,7.5
198185,Million Dollar Arm,Drama,8.42,2014/5/9,25000000,38307627,6.8
70,Million Dollar Baby,Drama,21.323,2004/12/15,30000000,216763646,8
4961,Mimic,Fantasy-Horror-Thriller-Science Fiction,15.949,1997/8/22,30000000,25480490,6
615643,Minari,Drama,14.669,2021/2/12,2000000,12886100,7.4
16617,Mindhunters,Mystery-Thriller-Crime,19.899,2004/5/7,27000000,21148829,6.5
864237,Minh Tu Le Scissorhands,Horror-Mystery,0.6,2021/4/20,1,500,0
211672,Minions,Family-Animation-Adventure-Comedy,46.361,2015/6/17,74000000,1156730962,6.4
180,Minority Report,Action-Thriller-Science Fiction-Mystery,18.492,2002/6/20,102000000,358372926,7.3
140870,Minuscule: Valley of the Lost Ants,Animation-Adventure-Family,16.558,2013/11/17,19700000,30000000,6.9
14292,Miracle,Drama-History,10.252,2004/2/6,28000000,64445708,7.1
12412,Miracle at St. Anna,Drama-War,8.938,2008/9/15,45000000,9323833,6.1
339984,Miracles from Heaven,Drama,52.98,2016/3/17,16000000,73983359,7.4
418325,Mirror Game,Crime-Mystery-Thriller,2.913,2016/9/30,405606,246840,7.9
62764,Mirror Mirror,Adventure-Comedy-Family-Fantasy,16.764,2012/3/15,85000000,183018522,5.9
14517,MirrorMask,Fantasy,6.388,2005/1/25,4000000,973613,6.5
13515,Mirrors,Horror-Mystery-Thriller-Drama,27.664,2008/8/15,35000000,72436439,6.2
403540,Mirzya,Romance-Drama-Fantasy,1.707,2016/10/7,6750000,1500000,6.2
955935,Mis hermanos juegan al futbol,Documentary-Family,1.783,2022/4/12,4,1,0
1700,Misery,Drama-Thriller,23.318,1990/11/30,20000000,61276872,7.7
500852,Miss Bala,Action,15.224,2019/2/1,15000000,15200000,6.4
